"x"
"title"
"description"
"status"
"programId"
"fromDate"
"toDate"
"timezone"
"cost"
"costInt"
"ages"
"reach"
"scholarship"
"attention"
"language"
"locationStreet"
"locationCity"
"locationCountry"
"locationState"
"locationPostalCode"
"locationPhone"
"locationLatitude"
"locationLongitude"
"areaOfInterest"
"typeOfOpportunity"
"programStatus"
"isOnlineOnly"
"affiliation"
"circuitId"
"circuitStatus"
"slug"
"id"
"type"
"isUserContactInfo"
"author"
"updated"
"created"
"publishedInConnectory"
"excerpt"
"circuitError"
"namespace"
"locationAdditional"
"repeatFrequency"
"repeatPeriod"
"repeatAdvancedDayOfWeek"
"locationFax"
"repeatUntil"
"program"
"...49"
"Ages_All Ages"
"Ages_Elementary (4-6)"
"Ages_Elementary (K-3)"
"Ages_Grades 4-9"
"Ages_High School"
"Ages_Middle School"
"Ages_Post Secondary School"
"Ages_Pre-K"
"Att_Boys"
"Att_GTS"
"Att_Girls"
"Att_None"
"Att_SRDoS"
"Att_SwDis"
"L_Chinese (Cantonese)"
"L_Chinese (Mandarin)"
"L_English"
"L_French"
"L_German"
"L_Italian"
"L_Korean"
"L_None"
"L_Russian"
"L_Spanish"
"L_Tagalog"
"L_Vietnamese"
"AoI_AaD"
"AoI_Arts"
"AoI_Biology"
"AoI_CS"
"AoI_Coding/Programming"
"AoI_Digital Media Production"
"AoI_EES"
"AoI_Engineering"
"AoI_Entrepreneurship"
"AoI_GS"
"AoI_Humanities"
"AoI_Invention Education"
"AoI_Making/DIY"
"AoI_Math"
"AoI_Natural History"
"AoI_Robotics"
"AoI_SSAR"
"AoI_Technology"
